2026-03-13 17:36:52 | INFO     | src.can_translator | CAN process loop started
2026-03-13 17:36:52 | INFO     | core.metrics_engine | Metrics collection started (interval=5.0s)
2026-03-13 17:36:52 | INFO     | src.can_translator | UDP receiver loop ended
2026-03-13 17:36:52 | INFO     | src.ble_receiver | UDP forward loop ended (sent=0, dropped=0)
2026-03-13 17:36:52 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/start "HTTP/1.1 200 OK"
2026-03-13 17:36:52 | WARNING  | backend.routers.gateway | Activating attack mode: dos
2026-03-13 17:36:52 | WARNING  | src.gateway | Attack mode activated: dos
2026-03-13 17:36:52 | WARNING  | src.attack_engine | Starting DoS attack: 3.0s @ 80 Hz
2026-03-13 17:36:53 | INFO     | src.attack_engine | DoS attack cancelled after 3 events
2026-03-13 17:36:53 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/dos "HTTP/1.1 200 OK"
2026-03-13 17:36:53 | WARNING  | analytics.utils | Cannot extract features from empty DataFrame
2026-03-13 17:36:53 | INFO     | httpx | HTTP Request: GET http://testserver/api/analytics/anomalies/detect?limit=100 "HTTP/1.1 200 OK"
2026-03-13 17:36:53 | INFO     | backend.routers.gateway | Deactivating attack mode
2026-03-13 17:36:53 | INFO     | src.gateway | Attack mode deactivated
2026-03-13 17:36:53 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/attack/none "HTTP/1.1 200 OK"
2026-03-13 17:36:53 | INFO     | backend.routers.gateway | Stopping gateway...
2026-03-13 17:36:53 | INFO     | src.gateway | Stopping gateway...
2026-03-13 17:36:53 | INFO     | src.ble_receiver | Stopping BLEReceiver
2026-03-13 17:36:53 | INFO     | src.ble_receiver | BLEReceiver stopped (packets=0)
2026-03-13 17:36:53 | INFO     | src.can_translator | Stopping CANTranslator
2026-03-13 17:36:53 | INFO     | src.can_translator | CANTranslator stopped (packets=0, errors=0)
2026-03-13 17:36:53 | INFO     | core.metrics_engine | MetricsEngine stopped
2026-03-13 17:36:53 | INFO     | src.gateway | Gateway stopped
2026-03-13 17:36:53 | INFO     | backend.routers.gateway | Gateway stopped successfully
2026-03-13 17:36:53 | INFO     | httpx | HTTP Request: POST http://testserver/api/gateway/stop "HTTP/1.1 200 OK"
2026-03-13 17:36:53 | WARNING  | src.attack_engine | Executing bit-flip attack
2026-03-13 17:36:53 | INFO     | src.attack_engine | Bit-flip attack event published
2026-03-13 17:36:53 | WARNING  | src.attack_engine | Starting DoS attack: 0.1s @ 50 Hz
2026-03-13 17:36:53 | INFO     | src.attack_engine | DoS attack completed: 4 events sent
2026-03-13 17:41:28 | INFO     | analytics.anomaly_detector | Created new Isolation Forest model
2026-03-13 17:41:28 | INFO     | analytics.cyber_attack_classifier | Created new Random Forest classifier
2026-03-13 17:41:28 | INFO     | analytics.anomaly_detector | Created new Isolation Forest model
2026-03-13 17:41:28 | INFO     | analytics.anomaly_detector | Created new Isolation Forest model
2026-03-13 17:41:28 | ERROR    | analytics.anomaly_detector | Detection failed: This IsolationForest instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
Traceback (most recent call last):
  File "C:\Users\Shailendra\Desktop\RT_BLE_CAN_Gateway_Project\analytics\anomaly_detector.py", line 164, in detect
    predictions = self.model.predict(X)  # -1 = anomaly, 1 = normal
                  ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Shailendra\Desktop\RT_BLE_CAN_Gateway_Project\venv\Lib\site-packages\sklearn\ensemble\_iforest.py", line 370, in predict
    check_is_fitted(self)
  File "C:\Users\Shailendra\Desktop\RT_BLE_CAN_Gateway_Project\venv\Lib\site-packages\sklearn\utils\validation.py", line 1461, in check_is_fitted
    raise NotFittedError(msg % {"name": type(estimator).__name__})
